DATE,EU28SLRTCR03GPSAM
1985-02-01,6.54205607476636
1985-03-01,0.751879699248134
1985-04-01,0.0
1985-05-01,-6.21890547263681
1985-06-01,9.01856763925726
1985-07-01,-0.973236009732337
1985-08-01,2.08845208845208
1985-09-01,-4.2117930204573
1985-10-01,3.76884422110553
1985-11-01,-1.93704600484262
1985-12-01,5.30864197530865
1986-01-01,-7.62016412661194
1986-02-01,5.96446700507615
1986-03-01,-4.79041916167665
1986-04-01,8.30188679245284
1986-05-01,-6.85249709639953
1986-06-01,14.3391521197008
1986-07-01,-4.79825517993458
1986-08-01,0.229095074455899
1986-09-01,2.5142857142857
1986-10-01,-2.00668896321073
1986-11-01,0.227531285551764
1986-12-01,1.02156640181612
1987-01-01,-5.8426966292135
1987-02-01,7.63723150357997
1987-03-01,-3.2150776053215
1987-04-01,3.2073310423826
