"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bahamas, The","BHS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","589300000","688100000","785000000","939800000","961200000","1038300000","1153500000","1297900000","1503600000","1577900000","1664300000","","1648320000","1714730000","1585170000","1562180000","1606810000","1662790000","1699040000","1733680000","2335400000","2368200000","2801300000","3072900000","2834100000","3212800000","3176400000","3460500000","3812500000","3895000000","4257100000","4157100000","3412900000","3528800000","3769900000","4087400000","4245700000","4149100000","4125100000","4239300000","4093100000","",
"Bosnia and Herzegovina","BIH","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000000","381000000","658000000","1022000000","1123990566.57385","1295321568.62745","1579685633.53745","1632283629.20937","1619401636.18864","2535225100.98096","2946920634.92064","3549945952.81999","4505419793.47059","4276291112.6662","5131401288.19652","4405111158.46296","5100738132.32207","5973018693.58163","5537187623.17698","6133981399.7692","6306824718.49139","5634362347.6042","6008386969.06284","7018611271.17667","",
"Belarus","BLR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9950000000","6000000000","10185185185.1852","11008264462.8099","10641993957.7039","6939552977.46472","6839769230.76923","8457248497.9202","8988770378.07839","7186389618.7248","8815283224.1715","8246546762.58993","9285958123.9531","11615943442.2233","15711851851.8519","18063463324.0483","22195244755.2448","27593429636.5331","37027902621.7228","24865449337.6298","29396844578.7177","48458472361.809","51744692335.3724","44058175675.6757","43301115023.4742","32749824186.8643","29847623837.0631","36509473030.3344","",
"Belize","BLZ","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","88973677.084055","84972542.787739","70947948.3470445","76516537.3161435","108649358.108206","83652580.9580265","104359482.161641","137936011.204951","161076592.032097","172914999.692331","201789164.717291","194000000","257665600","261401800","289455450","297425600","320713850","345342500","362282350","398031450","440767300","443480250","490171700","526733350","534853450","609026800","744269450","788432250","853628650","690190900","813293700","914738900","981551650","1032304100","1036213200","1013861000","933746650","1009694450","",
"Bermuda","BMU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2699314000","2704649000","2644231000","2589439000","2656891000","","","","","",
"Bolivia","BOL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","60602013.3892052","66695604.2671831","67363395.0483314","81303527.6048014","109517688.108316","129713804.713805","142255892.255892","170033670.03367","169696969.69697","189814814.814815","250168350.16835","234343434.343434","265513350.883791","350024987.506247","741229385.307346","623738130.934533","756121939.030485","864117941.029485","849175412.293853","1068846706.17008","1101141924.95922","1386623164.76346","1623181529.4428","1536933903.2077","1459225551.75372","1024366575.83932","844298528.585403","853524588.169453","862854857.376268","1061010967.12834","1108688320.48918","1147700385.41027","1131361363.9277","1094220299.64127","1295735742.88497","1514377643.06398","1670373428.44756","1673157413.92764","1673904647.82853","1398595244.64937","1534697177.97364","1626040049.03964","1710308647.14086","2069144688.74034","2731911668.34677","3394519904.2908","4783632142.47319","5483635157.99571","7487843555.79004","6194300427.35043","8093221710.17533","10565766356.6727","12774727351.6643","13518462662.8075","14285068740.9551","10186598842.2576","8311504920.40521","9341206367.58321","",
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","1070544628.54537","1109152823.34559","770900519.674771","2080325261.99351","1354466134.88626","1685625122.1861","1846958711.61305","1764834054.99797","2032731102.64928","2479930321.58748","2975391707.00149","3155632739.4951","4249449495.7691","6557708237.89377","8424673828.03794","9325921437.05926","10741988183.0392","12776590678.7557","13404621904.7576","16026612550.3001","21276141967.6084","24828388398.908","21435129573.2899","23221079048.8721","28317692072.551","27305943051.3525","23640556197.1808","27820190044.6056","35974382968.3631","38004000000","37880000000","52310000000","43538125000","45983167701.8634","53941811356.1708","57920041224.5495","57235482155.3958","61679566899.8575","60724077346.047","57330907852.6561","66774570003.6726","69203919580.034","72286060368.7744","84757339568.8027","110743537344.35","135918581909.3","159215718705.466","186198863078.424","229512905442.251","180894503551.065","240006821282.401","303021879483.501","292803747887.972","290362691897.407","270452613684.658","232489103970.663","224011751218.114","258207840132.856","",
"Barbados","BRB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","202627097.668432","202690388.262302","245539166.832769","321101774.971412","438572067.816835","603440560.831303","565753492.765873","631531845.075324","740714960.473326","823546959.67782","811763536.021479","715905135.981704","659623129.319346","748670014.418535","852533187.490678","867846666.335206","819569432.705216","808900000","872470541.440859","973599164.719336","1038930045.24437","1134340973.49973","1161686471.43638","1194252473.52459","1230497688.06245","1322800000","1251500000","1211100000","1378750000","1435900000","1711700000","1938700000","2043900000","2090350000","1904950000","1763300000","1766750000","1811200000","1914200000","1879250000","1614900000","1648850000","1775045900","",
"Brunei Darussalam","BRN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","966802084.6157","1052165478.85126","1332766715.23393","1639747478.88825","1844766930.51891","2665317759.58797","4601625256.86531","4066833909.2157","3809813084.11215","3393752957.87979","","","","","","1845357124.54494","2176000000","2468163926.83492","2421117249.84653","2248421834.38544","2087861725.80856","2827007196.27487","3065957446.80851","2972117456.89655","2044694072.65774","2567551622.41888","4042036716.93736","3894175364.17927","3922149447.1127","4543527034.78361","5416090226.00876","6688037370.82432","8227327081.6288","8310397452.06025","11269686706.1812","7811357074.10972","9240190685.73524","12876222275.2206","13364276568.5019","12311381074.1688","11749802683.5043","6751036439.01375","5652190834.72091","6012294722.46602","",
"Bhutan","BTN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","18510178.1170483","22602771.3625866","20400634.2494715","19968316.8316832","21887323.943662","25820533.5489086","35504361.6177637","59617283.9506173","79686063.2183908","77398028.3425755","80434037.692747","80410290.237467","80220293.2098765","74261397.1794031","79964297.0991393","114460067.838421","112291843.070844","131398512.806389","124772176.442075","130380863.910822","129012507.788162","125216999.364272","128202190.907221","158797507.513954","218024620.476611","313215333.333333","488540499.2606","657474450.100971","613943620.532718","565371973.730149","673077343.64407","750024105.16279","706230865.389654","727604108.004055","710750702.529105","684255674.422737","608539735.666036","735446791.847866","",
